Status,Country,Region
Child of an immigrant,Canada,North America
Child of an immigrant,Canada,North America
Child of an immigrant,Canada,North America
Child of an immigrant,Bermuda,North America
Child of an immigrant,Mexico,Latin America
Child of an immigrant,Mexico,Latin America
Child of an immigrant,Mexico,Latin America
Child of an immigrant,Mexico,Latin America
Child of an immigrant,Mexico,Latin America
Child of an immigrant,Mexico,Latin America
Child of an immigrant,Mexico,Latin America
Child of an immigrant,Mexico,Latin America
Child of an immigrant,Mexico,Latin America
Child of an immigrant,Mexico,Latin America
Immigrant,Mexico,Latin America
Immigrant,Mexico,Latin America
Immigrant,Mexico,Latin America
Immigrant,Guatemala,Latin America
Immigrant,Ecuador,Latin America
Child of an immigrant,Colombia,Latin America
Child of an immigrant,Cuba,Caribbean
Child of an immigrant,Cuba,Caribbean
Child of an immigrant,Cuba,Caribbean
Child of an immigrant,Cuba,Caribbean
Child of an immigrant,Cuba,Caribbean
Child of an immigrant,Cuba,Caribbean
Child of an immigrant,Cuba,Caribbean
Immigrant,Cuba,Caribbean
Immigrant,Dominican Republic,Caribbean
Child of an immigrant,Jamaica,Caribbean
Child of an immigrant,Jamaica,Caribbean
Child of an immigrant,Trinidad & Tobago,Caribbean
Child of an immigrant,Ireland,Europe
Child of an immigrant,UK,Europe
Child of an immigrant,Denmark,Europe
Child of an immigrant,Lithuania,Europe
Child of an immigrant,Lithuania,Europe
Child of an immigrant,Russia,Europe
Child of an immigrant,Russia,Europe
Child of an immigrant,Germany,Europe
Child of an immigrant,Germany,Europe
Child of an immigrant,Germany,Europe
Child of an immigrant,Germany,Europe
Child of an immigrant,Germany,Europe
Child of an immigrant,Germany,Europe
Child of an immigrant,France,Europe
Child of an immigrant,Switzerland,Europe
Child of an immigrant,Italy,Europe
Child of an immigrant,Italy,Europe
Child of an immigrant,Armenia,Europe
Child of an immigrant,Ukraine,Europe
Child of an immigrant,Hungary,Europe
Child of an immigrant,Poland,Europe
Child of an immigrant,Poland,Europe
Child of an immigrant,Poland,Europe
Immigrant,Poland,Europe
Child of an immigrant,Palestine,Middle East
Child of an immigrant,Palestine,Middle East
Child of an immigrant,Syria,Middle East
Child of an immigrant,Iran,Middle East
Child of an immigrant,Eritrea,Sub Saharan Africa
Immigrant,Somalia,Sub Saharan Africa
Child of an immigrant,India,Asia
Child of an immigrant,India,Asia
Child of an immigrant,India,Asia
Immigrant,India,Asia
Immigrant,India,Asia
Immigrant,China/Taiwan,Asia
Child of an immigrant,China/Taiwan,Asia
Child of an immigrant,China/Taiwan,Asia
Child of an immigrant,China/Taiwan,Asia
Child of an immigrant,Korea,Asia
Child of an immigrant,Philippines,Asia
Immigrant,Vietnam,Asia
Immigrant,Vietnam,Asia
